Rank,Name,W2001,Citizenship,C2001,Age01,I01,,Rank,Name,W2002,Citizenship,C2002,Age02,I02,,Rank,Name,W2003,Citizenship,C2003,Age03,I03,,Rank,Name,W2004,Citizenship,C2004,Age04,I04,,Rank,Name,W2005,Citizenship,C2005,Age05,I05,,Rank,Name,W2006,Citizenship,C2006,Age06,I06,,Rank,Name,W2007,Citizenship,C2007,Age07,I07,,Rank,Name,W2008,Citizenship,C2008,Age08,I08,,Rank,Name,W2009,Citizenship,C2009,Age09,I09,,Rank,Name,W2010,Citizenship,C2010,Age10,I10,G10,,Rank,Name,W2011,Citizenship,C2011,Age11,I11,G11,,Rank,Name,W2012,Citizenship,C2012,Age12,I12,G12,,Rank,Name,W2013,Citizenship,C2013,Age13,I13,G13,,Rank,Name,W2014,Citizenship,C2014,Age14,I14,G14,,Rank,Name,W2015,Citizenship,C2015,Age15,I15,G15,,Rank,Name,W2016,Citizenship,C2016,Age16,I16,G16,,Rank,Name,W2017,Citizenship,C2017,Age17,I17,G17,,Rank,Name,W2018,Citizenship,C2018,Age18,I18,G18,,Rank,Name,W2019,Citizenship,C2019,Age19,I19,G19,,Rank,Name,W2020,Citizenship,C2020,Age20,I20,G20,,Rank,Name,W2021,Citizenship,C2021,Age21,I21,G21,,Rank,Name,W2022,Citizenship,C2022,Age22,I22,G22,,Rank,full_name,W2023,Citizenship,C2023,Age23,I23,G23
209,"Sherman, Bernard (Barry)",22,Canada,North America,65,Information Technology,,208,"Menard, John R Jr",20,United State,North America,84,Financials,,209,Klaus Tschira,19,Germany,Europe,62,Communication Services,,216,Richard DeVos,24,United State,North America,78,Communication Services,,219,Alberto Bailleres,27,Mexico,North America,72,Consumer,,214,Maurice Greenberg,32,United State,North America,80,HealthCare,,214,Shiv Nadar,40,India,Asia,61,Consumer,,214,David Murdock,47,United State,North America,84,Financials,,205,Heinz Hermann Thiele & family,30,Germany,Europe,67,Financials,,212,Bernard Ecclestone & family,40,United Kingdom,Europe,79,Financials,Male,,219,Thomas Schmidheiny,48,Switzerland,Europe,65,Financials,Male,,216,Gordon Moore,49,United State,North America,83,Consumer,Male,,219,Carlos and Alejandro Bulgheroni,55,Argentina,South America,-,Financials,Male,,215,Milane Frantz,63,United State,North America,44,Industrials,Female,,216,Stephen Ross,65,United State,North America,74,Financials,Male,,219,Francis Choi,57,China,Asia,68,Real Estate,Male,,219,Goh Cheng Liang,65,Singapore,Asia,89,Industrials,Male,,217,Carrie Perrodo,72,France,Europe,67,Energy,Female,,215,Pauline MacMillan Keinath,69,United State,North America,85,Consumer,Female,,216,Jude Reyes,68,United State,North America,66,Consumer,Male,,219,Chase Coleman III,103,United State,North America,45,Financials,Male,,218,Zheng Shuliang & family,94,China,Asia,76,Materials,Female,,215,Wang Liping & family,90,China,Asia,57,Industrials,Male
209,"Siebel, Thomas M.",22,United State,North America,49,Consumer,,208,"Moller, Maersk Mc-Kinney",20,Denmark,Europe,61,Financials,,209,YC Wang,19,China,Asia,86,Real Estate,,216,John Dorrance III,24,Ireland,Europe,60,Consumer,,219,Edgar Bronfman Sr,27,United State,North America,76,Financials,,214,Charoen Sirivadhanabhakdi,32,Thailand,Asia,61,Financials,,214,Richard Schulze,40,United State,North America,66,Consumer,,214,Andreas Strungmann,47,Germany,Europe,58,Information Technology,,205,Samuel Zell,30,United State,North America,67,Communication Services,,212,Hui Ka Yan,40,China,Asia,51,Financials,Male,,219,Quek Leng Chan,48,Malaysia,Asia,70,Financials,Male,,216,Sam Zell,49,United State,North America,70,Consumer,Male,,219,Charles Cadogan & family,55,United Kingdom,Europe,75,Industrials,Male,,215,Ivan Glasenberg,63,Australia,Australia,57,Industrials,Male,,220,Abdulla bin Ahmad Al Ghurair,64,United Arab Emirates,Asia,-,Financials,Male,,219,Sergei Galitsky,57,Russia,Europe,48,Consumer,Male,,219,Bruce Halle,65,United State,North America,86,Consumer,Male,,217,Quek Leng Chan,72,Malaysia,Asia,76,Financials,Male,,215,Ralph Lauren,69,United State,North America,79,Consumer,Male,,216,Eli Broad,68,United State,North America,64,Consumer,Male,,219,Hui Wing Mau,103,China,Asia,70,Real Estate,Male,,220,Cao Renxian,93,China,Asia,53,Energy,Male,,220,Finn Rausing,89,Sweden,Europe,68,Consumer,Male
209,"Yoshida, Tadahiro",22,Japan,Asia,60,Information Technology,,208,"Ofer, Sammy and Yuli",20,Israel,Asia,-,Financials,,222,S D Abraham,18,United State,North America,79,Real Estate,,216,Ryoichi Jinnai & family,24,Japan,Asia,77,Financials,,219,Charles Cadogan & family,27,United Kingdom,Europe,68,Real Estate,,221,Ricardo Salinas Pliego & family,31,Mexico,North America,50,Financials,,214,Harold Simmons,40,United State,North America,75,Information Technology,,214,Thomas Strungmann,47,Germany,Europe,58,Consumer,,221,Micky Arison,29,United State,North America,59,Real Estate,,212,"James, Arthur & John Irving",40,Canada,North America,-,Communication Services,Male,,219,Spiro Latsis & family,48,Greece,Europe,64,Consumer,Male,,221,Isak Andic & family,48,Spain,Europe,58,Financials,Male,,219,Jeffrey Hildebrand,55,United State,North America,54,Consumer,Male,,215,"Herbert Kohler, Jr. & family",63,United State,North America,75,Industrials,Male,,220,Richard LeFrak,64,United State,North America,69,Consumer,Male,,219,Antonia Johnson,57,Sweden,Europe,72,Financials,Female,,219,Ananda Krishnan,65,Malaysia,Asia,78,Information Technology,Male,,217,Wang Wenxue,72,China,Asia,50,Real Estate,Male,,215,Jay Y. Lee,69,South Korea,Asia,50,Financials,Male,,221,Andrew Forrest,67,Australia,Australia,58,Materials,Male,,219,Edward Johnson III,103,United State,North America,90,Financials,Male,,221,Nathan Blecharczyk,92,United State,North America,38,Information Technology,Male,,220,Jorn Rausing,89,Sweden,Europe,63,Consumer,Male
222,"Al Rajhi, Sulaiman bin Abdul Aziz",21,Saudi Arabia,Asia,84,HealthCare,,208,"Pattison, Jim",20,Canada,North America,-,Consumer,,222,Herbert A Allen Jr,18,United State,North America,63,Consumer,,216,Barbara Piasecka Johnson,24,United State,North America,67,Real Estate,,219,Otto Happel,27,Germany,Europe,57,Real Estate,,221,Stephan Schmidheiny,31,Switzerland,Europe,58,Communication Services,,214,James Simons,40,United State,North America,69,Real Estate,,222,Gustavo Cisneros & family,46,Venezuela,South America,62,Real Estate,,221,Bahaa Hariri,29,Switzerland,Europe,42,Financials,,212,Charles Johnson,40,United State,North America,77,Real Estate,Male,,219,Johann Rupert & family,48,South Africa,Africa,60,Consumer,Male,,221,Robert Rowling,48,United State,North America,58,Consumer,Male,,219,Jim Pattison,55,Canada,North America,84,Real Estate,Male,,215,Paolo & Gianfelice Mario Rocca,63,Italy,Europe,-,Industrials,Male,,220,Melker Schorling,64,Sweden,Europe,67,Financials,Male,,219,Pauline MacMillan Keinath,57,United State,North America,82,Consumer,Female,,219,Richard LeFrak,65,United State,North America,71,Real Estate,Male,,222,John Doerr,71,United State,North America,66,Information Technology,Male,,215,Michael Otto,69,Germany,Europe,75,Consumer,Male,,221,Ma Jianrong & family,67,China,Asia,56,Consumer,Male,,219,Liu Hanyuan,103,China,Asia,57,Consumer,Male,,221,James Dyson,92,United Kingdom,Europe,74,Industrials,Male,,220,Kirsten Rausing,89,Sweden,Europe,70,Consumer,Female
222,"Dorrance, John T. III",21,Ireland,Europe,73,Consumer,,208,"Schmidt-Ruthenbeck, Rainer & Michael",20,Germany,Europe,64,Information Technology,,222,Kunio Busujima & family,18,Japan,Asia,63,Consumer,,216,Michael Lee-Chin,24,Canada,North America,53,Consumer,,219,Bradley Hughes,27,United State,North America,71,Materials,,221,Masayoshi Son,31,Japan,Asia,48,Consumer,,214,Andreas Strngmann,40,Germany,Europe,57,Energy,,222,Lester Crown & family,46,United State,North America,82,Financials,,221,Husnu Ozyegin,29,Turkey,Asia,64,Consumer,,212,Leonard Lauder,40,United State,North America,77,Consumer,Male,,223,Teh Hong Piow,47,Malaysia,Asia,80,Materials,Female,,223,Micky Arison,47,United State,North America,62,Consumer,Male,,219,Juan Roig,55,Spain,Europe,63,Energy,Male,,215,Randa Williams,63,United State,North America,52,Industrials,Female,,220,Charles Schwab,64,United State,North America,77,Real Estate,Male,,219,Lu Guanqiu,57,China,Asia,71,Financials,Male,,219,Iskander Makhmudov,65,Russia,Europe,53,Materials,Male,,222,Patrick Drahi,71,France,Europe,54,Information Technology,Male,,215,Robert Pera,69,United State,North America,40,Information Technology,Male,,221,Charles Schwab,67,United State,North America,82,Financials,Male,,223,Larry Xiangdong Chen,102,China,Asia,49,Consumer,Male,,223,Liu Yonghao & family,91,China,Asia,70,Materials,Male,,223,Tatyana Bakalchuk,88,Russia,Europe,47,Consumer,Female
222,"Gonda, Louis L.",21,United State,North America,66,HealthCare,,208,"Thyssen-Bornemisza, Georg",20,Switzerland,Europe,62,Consumer,,222,Charles C Butt,18,United State,North America,64,Financials,,216,Frank Lowy & family,24,Australia,Australia,73,Real Estate,,219,Ronald Lauder,27,United State,North America,61,Consumer,,224,Gianluigi & Rafaela Aponte,30,Switzerland,Europe,-,Consumer,,214,Thomas Strngmann,40,Germany,Europe,57,Consumer,,222,Paul Desmarais,46,Canada,North America,81,Consumer,,224,Saif Al Ghurair & family,28,United Arab Emirates,Asia,-,Financials,,212,Richard LeFrak & family,40,United State,North America,64,Financials,Male,,223,Frederik G.H. Meijer,47,United State,North America,91,Financials,Male,,223,Ma Huateng,47,China,Asia,40,Information Technology,Male,,219,Thomas Schmidheiny,55,Switzerland,Europe,67,Consumer,Male,,224,S. Truett Cathy,62,United State,North America,92,Consumer,Male,,220,Heinz Hermann Thiele,64,Germany,Europe,73,Financials,Male,,219,Sunil Mittal,57,India,Asia,58,Information Technology,Male,,224,John A. Sobrato,64,United State,North America,77,Real Estate,Male,,222,Eva Gonda de Rivera,71,Mexico,North America,-,Consumer,Female,,224,Jerry Jones,68,United State,North America,76,Communication Services,Male,,224,Leon Black,66,United State,North America,68,Financials,Male,,224,Philip Anschutz,101,United State,North America,81,Financials,Male,,223,Kim Beom-su,91,Korea,Asia,56,Information Technology,Male,,223,John Doerr,88,United State,North America,71,Information Technology,Male
222,"Johnson, Charles Bartlett",21,United State,North America,70,Financials,,225,"Hargreaves, John & family",19,United Kingdom,Europe,-,Industrials,,222,William M Davidson,18,United State,North America,80,Materials,,216,Hugo Mann & family,24,Germany,Europe,90,Communication Services,,219,Eliodoro Matte & family,27,Chile,South America,59,Consumer,,224,Roland Arnall,30,United State,North America,67,Financials,,214,Yitzhak Tshuva,40,Israel,Asia,58,Financials,,222,Frank Lowy & family,46,Australia,Australia,77,Financials,,224,Giorgio Armani,28,Italy,Europe,74,Industrials,,212,Alain Merieux & family,40,France,Europe,72,Financials,Male,,223,Marion MacMillan Pictet,47,United State,North America,78,Consumer,Male,,223,James Packer,47,Australia,Australia,44,Real Estate,Male,,225,Carlos Ardila Lulle,54,Colombia,South America,82,Consumer,Male,,224,"Rupert Johnson, Jr.",62,United State,North America,72,Financials,Male,,225,Stanley Kroenke,63,United State,North America,67,Industrials,Male,,219,Denis O'Brien,57,Ireland,Europe,57,Information Technology,Male,,224,Les Wexner,64,United State,North America,79,Consumer,Male,,222,Willi & Isolde Liebherr,71,Switzerland,Europe,-,Industrials,,,224,Shahid Khan,68,United State,North America,68,Consumer,Male,,224,Francis Choi,66,China,Asia,72,Real Estate,Male,,224,Dietmar Hopp & family,101,Germany,Europe,80,Information Technology,Male,,223,Jay Y. Lee,91,Korea,Asia,53,Financials,Male,,223,Richard Liu,88,China,Asia,49,Information Technology,Male
222,"Littlefield, Edmund Wattis",21,United State,North America,57,Consumer,,225,"Helmsley, Leona",19,United State,North America,67,HealthCare,,222,Eugenio Garza Laguera & family,18,Mexico,North America,79,Financials,,216,Juan & Carlos March,24,Spain,Europe,-,Financials,,219,Luis Carlos Sarmiento,27,Colombia,South America,72,Communication Services,,224,Pyotr Aven,30,Russia,Europe,51,Consumer,,226,Antonio Ermirio de Moraes & family,39,Brazil,South America,78,Financials,,222,Stef Wertheimer & family,46,Israel,Asia,82,Communication Services,,224,Antonio Ermirio de Moraes & family,28,Brazil,South America,80,Consumer,,212,Donald Newhouse,40,United State,North America,80,Financials,Male,,223,Whitney MacMillan,47,United State,North America,82,Financials,Male,,223,Juan Roig,47,Spain,Europe,62,Industrials,Male,,225,Pyotr Aven,54,Russia,Europe,57,Energy,Male,,224,Sumner Redstone,62,United State,North America,90,Communication Services,Male,,225,Sandra Ortega Mera,63,Spain,Europe,46,Consumer,Female,,219,Augusto & Giorgio Perfetti,57,Italy,Europe,-,Consumer,Male,,226,Garrett Camp,63,Canada,North America,38,Information Technology,Male,,222,Ricardo Salinas Pliego,71,Mexico,North America,62,Consumer,Male,,224,Friedhelm Loh,68,Germany,Europe,72,Industrials,Male,,224,Dang Yanbao,66,China,Asia,47,Materials,Male,,224,German Khan,101,Russia,Europe,59,Energy,Male,,223,Ivan Glasenberg,91,Switzerland,Europe,65,Consumer,Male,,223,Dustin Moskovitz,88,United State,North America,38,Information Technology,Male
222,"Mantegazza, Sergio",21,Switzerland,Europe,-,Consumer,,225,"Krasny, Michael",19,United State,North America,-,Real Estate,,222,Jess S Jackson,18,United State,North America,73,Financials,,216,Akira Mori,24,Japan,Asia,66,Real Estate,,219,Steven Spielberg,27,United State,North America,58,Consumer,,224,Edgar Bronfman Sr,30,United State,North America,76,Communication Services,,226,Sammy Ofer & family,39,Israel,Asia,85,Industrials,,227,Martin & Olivier Bouygues,45,France,Europe,56,Consumer,,224,Simon Halabi,28,United Kingdom,Europe,59,Consumer,,212,Jim Pattison,40,Canada,North America,81,Financials,Male,,223,Cargill MacMillan,47,United State,North America,83,Consumer,Female,,223,Dieter Schnabel,47,Germany,Europe,66,Consumer,Male,,225,Johann Graf,54,Austria,Europe,66,Real Estate,Male,,227,Pyotr Aven,61,Russia,Europe,58,Consumer,Male,,225,Sumner Redstone,63,United State,North America,91,Communication Services,Male,,219,Melker Schorling,57,Sweden,Europe,68,Financials,Male,,226,Leonid Fedun,63,Russia,Europe,60,Energy,Male,,222,Suh Kyung-Bae,71,South Korea,Asia,55,Consumer,Male,,224,Hank & Doug Meijer,68,United State,North America,-,Consumer,Male,,224,Israel Englander,66,United State,North America,71,Financials,Male,,224,Li Ge,101,United State,North America,54,HealthCare,Male,,227,Eric Wittouck,90,Belgium,Europe,75,Consumer,Female,,223,Pierre Omidyar,88,United State,North America,55,Information Technology,Male
222,"Maramotti, Achille",21,Italy,Europe,74,Consumer,,225,"Liebherr, Willi and Isolde",19,Switzerland,Europe,58,Consumer,,222,Frank Lowy & family,18,Australia,Australia,72,Consumer,,216,Masayoshi Son,24,Japan,Asia,46,Communication Services,,228,Hubert Burda,26,Germany,Europe,65,Consumer,,224,Albert Frere,30,Belgium,Europe,80,Consumer,,226,Nassef Sawiris,39,Egypt,Africa,-,Industrials,,227,William Cook,45,United State,North America,76,Industrials,,224,Michael Herz,28,Germany,Europe,63,Industrials,,212,Daniel Ziff,40,United State,North America,38,Consumer,Male,,223,Pauline MacMillan Keinath,47,United State,North America,77,Consumer,Male,,223,Karl Wlaschek,47,Austria,Europe,94,Consumer,Male,,225,Richard LeFrak & family,54,United State,North America,67,Real Estate,Male,,227,"Thomas Frist, Jr. & family",61,United State,North America,75,Financials,Male,,225,Nassef Sawiris,63,Egypt,Africa,54,Communication Services,Male,,228,Heinrich Deichmann,56,Germany,Europe,53,Consumer,Male,,226,Guo Guangchang,63,China,Asia,50,Financials,Male,,228,Pollyanna Chu,70,China,Asia,59,Financials,Female,,224,Dmitry Rybolovlev,68,Russia,Europe,52,Industrials,Male,,224,Massimiliana Landini Aleotti & family,66,Italy,Europe,77,HealthCare,Female,,228,Jay Chaudhry,100,United State,North America,61,Information Technology,Male,,227,Ann Walton Kroenke,90,United State,North America,73,Consumer,Male,,223,Pei Zhenhua,88,China,Asia,64,Energy,Male
222,"Merckle, Adolf",21,Germany,Europe,-,Financials,,225,"Malone, John C",19,United State,North America,-,Consumer,,222,Wallace McCain,18,Canada,North America,73,Financials,,216,Robert E (Ted) Turner,24,United State,North America,65,HealthCare,,228,Michael Hilti & family,26,Liechtenstein,Europe,58,Consumer,,224,Frits Goldschmeding,30,Netherlands,Europe,72,Financials,,226,Hiroshi Yamauchi,39,Japan,Asia,79,Consumer,,227,William Davidson,45,United State,North America,85,Materials,,224,Wolfgang Herz,28,Germany,Europe,58,Real Estate,,212,Dirk Ziff,40,United State,North America,45,Information Technology,Male,,223,Vladimir Kim,47,Kazakhstan,Asia,50,Consumer,Male,,223,Yang Huiyan,47,China,Asia,30,Real Estate,Female,,229,Graeme Hart,53,New Zealand,Australia,57,Consumer,Male,,227,David Geffen,61,United State,North America,71,Materials,Male,,225,Christoffel Wiese,63,South Africa,Africa,73,Consumer,Male,,228,Terry Gou,56,China,Asia,65,Information Technology,Male,,226,Mikhail Gutseriev,63,Russia,Europe,59,Energy,Male,,228,John Fredriksen,70,Cyprus,Europe,73,Industrials,Male,,224,Melker Schorling & family,68,Sweden,Europe,71,Financials,Male,,224,Dmitry Rybolovlev,66,Russia,Europe,53,Industrials,Male,,228,Eric Wittouck,100,Belgium,Europe,74,Financials,Male,,227,Li Ping,90,China,Asia,54,Financials,Male,,223,Carrie Perrodo & family,88,France,Europe,72,Energy,Female
222,"Ofer, Sammy & Yuli",21,Israel,Asia,54,Communication Services,,225,"Merckle, Adolf",19,Germany,Europe,48,Information Technology,,222,Vladimir O Potanin,18,Russia,Europe,42,Real Estate,,216,Steven Udvar-Hazy,24,United State,North America,58,Consumer,,228,Martha Ingram & family,26,United State,North America,69,Communication Services,,224,Heidi Horten,30,Austria,Europe,65,Consumer,,230,Anil Agarwal,38,India,Asia,53,Information Technology,,227,Charles Johnson,45,United State,North America,75,Consumer,,224,Paul Tudor Jones II,28,United State,North America,54,Consumer,,212,Robert Ziff,40,United State,North America,43,Consumer,Male,,223,Charles Schwab,47,United State,North America,73,Consumer,Male,,230,Charles Cadogan & family,46,United Kingdom,Europe,75,Financials,Male,,229,Bidzina Ivanishvili,53,Georgia,Asia,57,Financials,Male,,227,Richard LeFrak & family,61,United State,North America,68,Energy,Male,,230,Majid Al Futtaim,62,United Arab Emirates,Asia,-,Real Estate,Male,,228,David Green,56,United State,North America,74,Consumer,Male,,226,Travis Kalanick,63,United State,North America,40,Information Technology,Male,,228,Goh Cheng Liang,70,Singapore,Asia,90,Industrials,Male,,224,Robin Zeng,68,Hong Kong,Asia,50,Energy,Male,,230,Gianluigi & Rafaela Aponte,65,Switzerland,Europe,79,Industrials,,,230,Carl Cook,99,United State,North America,58,HealthCare,Male,,230,Friedhelm Loh,89,Germany,Europe,75,Real Estate,Male,,230,Chen Jianhua,87,China,Asia,52,Industrials,Male
222,"Spielberg, Steven Allen",21,United State,North America,68,Financials,,225,"Schorghuber, Stefan",19,Germany,Europe,60,Communication Services,,222,Robert E Rich Sr,18,United State,North America,89,Consumer,,231,Alberto Bailleres,23,Mexico,North America,71,Consumer,,228,Boris Ivanishvili,26,Russia,Europe,49,Materials,,224,Petr Kellner,30,Czech Republic,Europe,41,Consumer,,230,Richard Branson,38,United Kingdom,Europe,56,Financials,,227,Lev Leviev,45,Israel,Asia,52,Real Estate,,224,Mehmet Emin Karamehmet,28,Turkey,Asia,64,Communication Services,,212,Mark Zuckerberg,40,United State,North America,25,Financials,Male,,223,Kjeld Kirk Kristiansen,47,Denmark,Europe,63,Real Estate,Male,,230,Richard Chandler,46,New Zealand,Australia,53,Energy,Male,,229,Frank Lowy,53,Australia,Australia,82,Financials,Male,,227,Iskander Makhmudov,61,Russia,Europe,50,HealthCare,Male,,230,Dannine Avara,62,United State,North America,51,Real Estate,Female,,228,Hiroshi Mikitani,56,Japan,Asia,51,Consumer,Male,,226,Suleiman Kerimov,63,Russia,Europe,51,Financials,Male,,228,Sri Prakash Lohia,70,Indonesia,Asia,65,Industrials,Male,,224,Zhang Jindong,68,China,Asia,55,Consumer,Male,,230,Daniel Gilbert,65,United State,North America,58,Financials,Male,,230,Jan Koum,99,United State,North America,45,Information Technology,Male,,230,Ian & Richard Livingstone,89,United Kingdom,Europe,-,Industrials,Male,,230,Michael Otto,87,Germany,Europe,79,Consumer,Male
222,"Stempel, Ernest E.",21,Bermuda,North America,-,Materials,,225,ShinKyUnited Kingdom-ho,19,South Korea,Asia,61,Communication Services,,222,Ferit Sahenk & family,18,Turkey,Asia,39,Consumer,,231,Ronald Burkle,23,United State,North America,51,Communication Services,,228,Rupert Johnson Jr,26,United State,North America,63,Information Technology,,224,Lee Seng Wee & family,30,Singapore,Asia,81,Consumer,,230,Frits Goldschmeding,38,Netherlands,Europe,73,Consumer,,227,Paul Milstein & family,45,United State,North America,85,HealthCare,,224,Ralph Lauren,28,United State,North America,69,Consumer,,232,Paul Desmarais,39,Canada,North America,83,Consumer,Male,,232,Hiroshi Yamauchi,46,Japan,Asia,83,Consumer,Male,,232,Michael Herz,45,Germany,Europe,68,Consumer,Male,,229,Wei Jianjun & family,53,China,Asia,49,Communication Services,Male,,227,Sandra Ortega Mera & family,61,Spain,Europe,45,Real Estate,Female,,230,Oleg Deripaska,62,Russia,Europe,47,HealthCare,Male,,228,Stef Wertheimer,56,Israel,Asia,89,Industrials,Male,,226,Carrie Perrodo,63,France,Europe,66,Energy,Female,,228,Lu Zhiqiang,70,China,Asia,65,Real Estate,Male,,224,Zhang Yong,68,Singapore,Asia,48,Consumer,Male,,230,Johann Graf,65,Austria,Europe,73,Consumer,Male,,232,Herbert Kohler Jr & family,98,United State,North America,82,Industrials,Male,,230,Michael Otto,89,Germany,Europe,78,Information Technology,Male,,232,Leon Black,86,United State,North America,71,Financials,Male
222,"Swire, Adrian & family",21,United Kingdom,Europe,52,Consumer,,225,"Taylor, Glen",19,United State,North America,82,Real Estate,,222,TsaiWan Tsai,18,China,Asia,-,Industrials,,231,Charles Butt,23,United State,North America,65,Real Estate,,228,Saleh Kamel,26,Saudi Arabia,Asia,63,Communication Services,,224,Hiroshi Mikitani,30,Japan,Asia,41,Information Technology,,230,Stein Erik Hagen & family,38,Norway,Europe,50,Communication Services,,227,Stephen Ross,45,United State,North America,67,Real Estate,,224,Hermann Schnabel,28,Germany,Europe,88,Financials,,232,Nicolas Hayek,39,Switzerland,Europe,81,Real Estate,Male,,232,Heinz-Horst Deichmann,46,Germany,Europe,84,Information Technology,Male,,232,Wolfgang Herz,45,Germany,Europe,61,Consumer,Male,,233,Anil Ambani,52,India,Asia,53,Consumer,Male,,227,Lucio Tan & family,61,Philippines,Asia,79,Communication Services,Male,,230,Scott Duncan,62,United State,North America,32,Financials,Male,,233,Maria Asuncion Aramburuzabala,55,Mexico,North America,52,Consumer,Female,,226,Anders Holch Povlsen,63,Denmark,Europe,44,Consumer,Male,,228,Jorn Rausing,70,Sweden,Europe,58,Consumer,Male,,233,Eli Broad,67,United State,North America,85,Financials,Male,,230,Kei Hoi Pang,65,China,Asia,54,Real Estate,Male,,232,Tobi Lutke,98,Canada,North America,40,Information Technology,Male,,230,Xavier Niel,89,France,Europe,54,Consumer,Male,,232,Graeme Hart,86,New Zealand,Australia,67,Financials,Male
234,"Bezos, Jeffrey P.",20,United State,North America,-,Industrials,,234,"Abraham, S D",18,United State,North America,48,Financials,,222,Samuel Zell,18,United State,North America,61,Consumer,,231,Clive Calder,23,United Kingdom,Europe,57,Real Estate,,228,Jorge Paulo Lemann,26,Brazil,South America,65,Industrials,,224,Robert Miller,30,Canada,North America,60,Information Technology,,230,Eitaro Itoyama,38,Japan,Asia,64,Materials,,227,Nobutada Saji & family,45,Japan,Asia,62,Financials,,234,Shari Arison,27,Israel,Asia,51,Real Estate,,232,Robert Holding,39,United State,North America,83,Energy,Male,,232,Wang Jianlin,46,China,Asia,56,Consumer,Male,,232,Charles Johnson,45,United State,North America,79,Consumer,Male,,233,Jean-Claude Decaux & family,52,France,Europe,75,Communication Services,Male,,234,Patrizio Bertelli,60,Italy,Europe,68,Financials,Male,,230,Curt Engelhorn,62,Germany,Europe,88,Materials,Male,,233,Desh Bandhu Gupta,55,India,Asia,78,HealthCare,Male,,234,David Green,62,United State,North America,75,Consumer,Male,,228,Johann Rupert,70,South Africa,Africa,67,Consumer,Male,,233,Francis Choi,67,Hong Kong,Asia,71,Real Estate,Male,,230,Tom & Judy Love,65,United State,North America,57,Energy,Male,,234,James Dyson,97,United Kingdom,Europe,73,Industrials,Male,,230,Johann Rupert & family,89,South Africa,Africa,71,Consumer,Male,,232,Ravi Jaipuria,86,India,Asia,68,Consumer,Male
234,"Burda, Hubert",20,Germany,Europe,61,Communication Services,,234,"Al Ghurair, Abdul Aziz",18,United Arab Emirates,Asia,-,Industrials,,236,Giorgio Armani,17,Italy,Europe,68,Consumer,,231,Cheng Yu-tung,23,China,Asia,78,Industrials,,228,Lev Leviev,26,Israel,Asia,49,Consumer,,224,Sammy Ofer & family,30,Israel,Asia,84,Energy,,230,Jim Pattison,38,Canada,North America,78,Real Estate,,227,Zhang Jindong,45,China,Asia,45,Industrials,,234,John Arnold,27,United State,North America,35,Information Technology,,232,Bradley Hughes,39,United State,North America,76,Consumer,Male,,235,Paul Desmarais,45,Canada,North America,84,Financials,Male,,232,Bruce Kovner,45,United State,North America,67,Consumer,Male,,233,Denis O'Brien,52,Ireland,Europe,54,Communication Services,Male,,234,Chan Laiwa & family,60,China,Asia,73,Real Estate,Female,,230,Milane Frantz,62,United State,North America,45,Financials,Female,,233,Ralph Lauren,55,United State,North America,76,Consumer,Male,,234,Robert Rowling,62,United State,North America,63,Energy,Male,,228,Jacques Saade,70,France,Europe,81,Industrials,Male,,233,Daniel Gilbert,67,United State,North America,57,Financials,Male,,230,Marcel Herrmann Telles,65,Brazil,South America,82,Consumer,,,234,Mat Ishbia,97,United State,North America,41,Financials,Male,,235,Hui Ka Yan,88,China,Asia,63,Real Estate,Male,,232,Hasso Plattner & family,86,Germany,Europe,79,Information Technology,Male
234,"Champalimaud, Antonio",20,Portugal,Europe,87,Consumer,,234,"Allen, Herbert A Jr",18,United State,North America,57,Consumer,,236,Alberto Bailleres,17,Mexico,North America,70,Financials,,231,Michael Hilti & family,23,Liechtenstein,Europe,57,Industrials,,228,Hugo Mann & family,26,Germany,Europe,91,Financials,,224,Edward Rogers,30,Canada,North America,72,Financials,,230,Anton Schlecker,38,Germany,Europe,62,HealthCare,,236,Richard Branson,44,United Kingdom,Europe,57,Communication Services,,234,Martin & Olivier Bouygues,27,France,Europe,57,Industrials,,232,Wu Yajun & family,39,China,Asia,46,HealthCare,Female,,235,Otto Beisheim,45,Germany,Europe,87,Consumer,Male,,232,John Menard Jr,45,United State,North America,72,Information Technology,Male,,233,Jorn Rausing,52,Sweden,Europe,53,Information Technology,Male,,234,Filaret Galchev,60,Russia,Europe,50,Communication Services,Male,,230,Hui Ka Yan,62,China,Asia,56,Industrials,Male,,233,Ted Lerner,55,United State,North America,90,Real Estate,Male,,234,Tsai Eng-Meng,62,China,Asia,60,Consumer,Male,,228,Wu Shaoxun,70,China,Asia,62,Consumer,Male,,233,Eva Gonda de Rivera & family,67,Mexico,North America,-,Consumer,Female,,230,Alexei Kuzmichev,65,Russia,Europe,70,Consumer,Male,,234,Savitri Jindal & family,97,India,Asia,71,Materials,Female,,235,Li Ge,88,United State,North America,55,Consumer,Female,,232,Carlos Alberto Sicupira & family,86,Brazil,South America,75,Consumer,Male
